S,pA,i,SFS_i
1000,0.001,57,2.0459311547085246e-7
1000,0.001,58,2.0165355923588221e-7
1000,0.001,59,1.988170387049571e-7
1000,0.001,60,1.960784315097453e-7
1000,0.001,61,1.9343295151724892e-7
1000,0.001,62,1.908761217176415e-7
1000,0.001,63,1.8840374923429547e-7
1000,0.001,64,1.8601190476134848e-7
1000,0.001,65,1.8369690011395445e-7
1000,0.001,66,1.814552712744661e-7
1000,0.001,67,1.7928376137331411e-7
1000,0.001,68,1.771793054571231e-7
1000,0.001,69,1.7513901659438726e-7
1000,0.001,70,1.731601731601737e-7
1000,0.001,71,1.712402072006511e-7
1000,0.001,72,1.6937669376688843e-7
1000,0.001,73,1.6756734112511545e-7
1000,0.001,74,1.658099817608031e-7
1000,0.001,75,1.6410256410249043e-7
1000,0.001,76,1.624431448992423e-7
1000,0.001,77,1.6082988219209388e-7
1000,0.001,78,1.5926102882624566e-7
1000,0.001,79,1.5773492645609876e-7
1000,0.001,80,1.562500000000114e-7
1000,0.001,81,1.5480475250591342e-7
1000,0.001,82,1.5339776037105063e-7
1000,0.001,83,1.5202766902467723e-7
1000,0.001,84,1.506931886632634e-7
1000,0.001,85,1.4939309056876113e-7
1000,0.001,86,1.481262035258831e-7
1000,0.001,87,1.4689141052577563e-7
1000,0.001,88,1.456876456886593e-7
1000,0.001,89,1.4451389139863252e-7
1000,0.001,90,1.433691756278221e-7
1000,0.001,91,1.4225256943742544e-7
1000,0.001,92,1.4116318464169714e-7
1000,0.001,93,1.4010017162283614e-7
1000,0.001,94,1.3906271728558776e-7
1000,0.001,95,1.3805004314070964e-7
1000,0.001,96,1.370614035088272e-7
1000,0.001,97,1.360960838352289e-7
1000,0.001,98,1.3515339910801595e-7
1000,0.001,99,1.3423269237224483e-7
1000,0.001,100,1.3333333333334247e-7
1000,0.001,101,1.3245471704357586e-7
1000,0.001,102,1.315962626661373e-7
1000,0.001,103,1.3075741231080087e-7
1000,0.001,104,1.2993762993761104e-7
1000,0.001,105,1.2913640032280804e-7
1000,0.001,106,1.2835322808363348e-7
1000,0.001,107,1.2758763675791983e-7
1000,0.001,108,1.2683916793495138e-7
1000,0.001,109,1.261073804343067e-7
1000,0.001,110,1.2539184952963294e-7
1000,0.001,111,1.2469216621452455e-7
1000,0.001,112,1.2400793650795916e-7
1000,0.001,113,1.2333878079614936e-7
1000,0.001,114,1.226843332106479e-7
1000,0.001,115,1.2204424103737705e-7
1000,0.001,116,1.214181641573615e-7
1000,0.001,117,1.2080577451602793e-7
1000,0.001,118,1.2020675561965457e-7
1000,0.001,119,1.1962080205747058e-7
1000,0.001,120,1.1904761904761603e-7
1000,0.001,121,1.1848692200598395e-7
1000,0.001,122,1.1793843613633938e-7
1000,0.001,123,1.1740189603899029e-7
1000,0.001,124,1.1687704534828737e-7
1000,0.001,125,1.163636363636268e-7
1000,0.001,126,1.1586142973004526e-7
1000,0.001,127,1.1537019411035313e-7
1000,0.001,128,1.1488970588233058e-7
1000,0.001,129,1.144197488486512e-7
1000,0.001,130,1.1396011396011319e-7
1000,0.001,131,1.1351059905218512e-7
1000,0.001,132,1.1307100859339494e-7
1000,0.001,133,1.1264115344541013e-7
1000,0.001,134,1.1222085063406349e-7
1000,0.001,135,1.1180992313068929e-7
1000,0.001,136,1.1140819964352929e-7
1000,0.001,137,1.1101551441823982e-7
1000,0.001,138,1.1063170704693201e-7
1000,0.001,139,1.1025662228885585e-7
1000,0.001,140,1.09890109890552e-7
1000,0.001,141,1.095320244272575e-7
1000,0.001,142,1.0918222513757147e-7
1000,0.001,143,1.0884057577455191e-7
1000,0.001,144,1.0850694459629778e-7
1000,0.001,145,1.081812036382893e-7
1000,0.001,146,1.0786322954056841e-7
1000,0.001,147,1.0755290272021365e-7
1000,0.001,148,1.0725010744502146e-7
1000,0.001,149,1.0695473171961981e-7
1000,0.001,150,1.0666666717760385e-7
1000,0.001,151,1.0638580898005556e-7
1000,0.001,152,1.0611205572082506e-7
1000,0.001,153,1.0584530713277426e-7
1000,0.001,154,1.0558547144023343e-7
1000,0.001,155,1.0533245556346436e-7
1000,0.001,156,1.0508617066023664e-7
1000,0.001,157,1.0484653089054053e-7
1000,0.001,158,1.0461345329015415e-7
1000,0.001,159,1.0438685769465577e-7
1000,0.001,160,1.0416666666674393e-7
1000,0.001,161,1.0395280542635508e-7
1000,0.001,162,1.0374520178442872e-7
1000,0.001,163,1.035437860785451e-7
1000,0.001,164,1.0334849111203445e-7
1000,0.001,165,1.0315925215194996e-7
1000,0.001,166,1.02976006590464e-7
1000,0.001,167,1.0279869445657923e-7
1000,0.001,168,1.0262725779967228e-7
1000,0.001,169,1.0246164092317806e-7
1000,0.001,170,1.023017902806597e-7
1000,0.001,171,1.0214765443448242e-7
1000,0.001,172,1.0199918400652466e-7
1000,0.001,173,1.0185633164421225e-7
1000,0.001,174,1.0171905197843237e-7
1000,0.001,175,1.0158730158730218e-7
1000,0.001,176,1.0146103896103952e-7
1000,0.001,177,1.0134022446859293e-7
1000,0.001,178,1.0122482032593894e-7
1000,0.001,179,1.0111479056277264e-7
1000,0.001,180,1.0101010101010059e-7
1000,0.001,181,1.0091071924115071e-7
1000,0.001,182,1.0081661457808707e-7
1000,0.001,183,1.0072775805192773e-7
1000,0.001,184,1.0064412238325206e-7
1000,0.001,185,1.0056568196103277e-7
1000,0.001,186,1.0049241282283435e-7
1000,0.001,187,1.0042429263639146e-7
1000,0.001,188,1.0036130068245958e-7
1000,0.001,189,1.0030341783896549e-7
1000,0.001,190,1.0025062656641846e-7
1000,0.001,191,1.0020291089453772e-7
1000,0.001,192,1.0016025641018168e-7
1000,0.001,193,1.0012265024646254e-7
1000,0.001,194,1.0009008107287482e-7
1000,0.001,195,1.0006253908685167e-7
1000,0.001,196,1.0004001600633899e-7
1000,0.001,197,1.000225050635916e-7
1000,0.001,198,1.0001000100006536e-7
1000,0.001,199,1.0000250006247589e-7
1000,0.001,200,9.999999999998035e-8
1000,0.001,201,1.0000250006247577e-7
1000,0.001,202,1.000100010000652e-7
1000,0.001,203,1.0002250506359147e-7
1000,0.001,204,1.000400160063389e-7
1000,0.001,205,1.0006253908685172e-7
1000,0.001,206,1.0009008107287488e-7
1000,0.001,207,1.0012265024646261e-7
1000,0.001,208,1.0016025641018171e-7
1000,0.001,209,1.0020291089453779e-7
1000,0.001,210,1.002506265664184e-7
1000,0.001,211,1.0030341783896551e-7
1000,0.001,212,1.0036130068245963e-7
1000,0.001,213,1.0042429263639151e-7
1000,0.001,214,1.0049241282283444e-7
1000,0.001,215,1.0056568196103291e-7
1000,0.001,216,1.0064412238325209e-7
1000,0.001,217,1.0072775805192763e-7
1000,0.001,218,1.0081661457808694e-7
1000,0.001,219,1.0091071924115074e-7
1000,0.001,220,1.0101010101010063e-7
1000,0.001,221,1.0111479056277284e-7
1000,0.001,222,1.0122482032593922e-7
1000,0.001,223,1.0134022446859321e-7
1000,0.001,224,1.0146103896103952e-7
1000,0.001,225,1.0158730158730221e-7
1000,0.001,226,1.017190519784322e-7
1000,0.001,227,1.0185633164421209e-7
1000,0.001,228,1.0199918400652451e-7
1000,0.001,229,1.021476544344823e-7
1000,0.001,230,1.0230179028065975e-7
1000,0.001,231,1.0246164092317808e-7
1000,0.001,232,1.0262725779967252e-7
1000,0.001,233,1.0279869445657925e-7
1000,0.001,234,1.0297600659046404e-7
1000,0.001,235,1.0315925215194979e-7
1000,0.001,236,1.0334849111203445e-7
1000,0.001,237,1.0354378607854514e-7
1000,0.001,238,1.0374520178442876e-7
1000,0.001,239,1.0395280542635512e-7
1000,0.001,240,1.0416666666674385e-7
1000,0.001,241,1.043868576946557e-7
1000,0.001,242,1.0461345329015406e-7
1000,0.001,243,1.0484653089054049e-7
1000,0.001,244,1.0508617066023657e-7
1000,0.001,245,1.053324555634643e-7
1000,0.001,246,1.055854714402336e-7
1000,0.001,247,1.0584530713277449e-7
1000,0.001,248,1.0611205572082504e-7
1000,0.001,249,1.0638580898005548e-7
1000,0.001,250,1.0666666717760379e-7
1000,0.001,251,1.0695473171961962e-7
1000,0.001,252,1.072501074450213e-7
1000,0.001,253,1.0755290272021366e-7
1000,0.001,254,1.078632295405684e-7
1000,0.001,255,1.081812036382893e-7
1000,0.001,256,1.0850694459629774e-7
1000,0.001,257,1.0884057577455212e-7
1000,0.001,258,1.0918222513757147e-7
1000,0.001,259,1.0953202442725749e-7
1000,0.001,260,1.0989010989055184e-7
1000,0.001,261,1.1025662228885585e-7
1000,0.001,262,1.1063170704693201e-7
1000,0.001,263,1.1101551441823985e-7
1000,0.001,264,1.1140819964352919e-7
1000,0.001,265,1.118099231306892e-7
1000,0.001,266,1.1222085063406342e-7
1000,0.001,267,1.1264115344541006e-7
1000,0.001,268,1.1307100859339487e-7
1000,0.001,269,1.1351059905218508e-7
1000,0.001,270,1.1396011396011314e-7
1000,0.001,271,1.1441974884865119e-7
1000,0.001,272,1.1488970588233078e-7
1000,0.001,273,1.1537019411035305e-7
1000,0.001,274,1.1586142973004525e-7
1000,0.001,275,1.1636363636362653e-7
1000,0.001,276,1.1687704534828715e-7
1000,0.001,277,1.1740189603899022e-7
1000,0.001,278,1.1793843613633936e-7
1000,0.001,279,1.1848692200598389e-7
1000,0.001,280,1.1904761904761596e-7
1000,0.001,281,1.1962080205747058e-7
1000,0.001,282,1.2020675561965452e-7
1000,0.001,283,1.2080577451602783e-7
1000,0.001,284,1.2141816415736146e-7
1000,0.001,285,1.22044241037377e-7
1000,0.001,286,1.226843332106478e-7
1000,0.001,287,1.2333878079614934e-7
1000,0.001,288,1.240079365079591e-7
1000,0.001,289,1.2469216621452455e-7
1000,0.001,290,1.2539184952963292e-7
1000,0.001,291,1.261073804343067e-7
1000,0.001,292,1.2683916793495138e-7
1000,0.001,293,1.2758763675791986e-7
1000,0.001,294,1.2835322808363348e-7
1000,0.001,295,1.291364003228081e-7
1000,0.001,296,1.2993762993761112e-7
1000,0.001,297,1.307574123108009e-7
1000,0.001,298,1.315962626661373e-7
1000,0.001,299,1.324547170435757e-7
1000,0.001,300,1.333333333333425e-7
1000,0.001,301,1.3423269237224488e-7
1000,0.001,302,1.35153399108016e-7
1000,0.001,303,1.3609608383522884e-7
1000,0.001,304,1.3706140350882727e-7
1000,0.001,305,1.3805004314070966e-7
1000,0.001,306,1.3906271728558784e-7
1000,0.001,307,1.4010017162283622e-7
1000,0.001,308,1.411631846416971e-7
1000,0.001,309,1.4225256943742544e-7
1000,0.001,310,1.433691756278221e-7
1000,0.001,311,1.4451389139863263e-7
1000,0.001,312,1.4568764568865934e-7
1000,0.001,313,1.4689141052577563e-7
1000,0.001,314,1.4812620352588314e-7
1000,0.001,315,1.4939309056876113e-7
1000,0.001,316,1.5069318866326344e-7
1000,0.001,317,1.5202766902467725e-7
1000,0.001,318,1.5339776037105063e-7
1000,0.001,319,1.5480475250591347e-7
1000,0.001,320,1.5625000000001147e-7
1000,0.001,321,1.5773492645609876e-7
1000,0.001,322,1.5926102882624563e-7
1000,0.001,323,1.608298821920939e-7
1000,0.001,324,1.624431448992423e-7
1000,0.001,325,1.6410256410249054e-7
1000,0.001,326,1.6580998176080318e-7
1000,0.001,327,1.6756734112511553e-7
1000,0.001,328,1.693766937668885e-7
1000,0.001,329,1.712402072006512e-7
1000,0.001,330,1.7316017316017384e-7
1000,0.001,331,1.7513901659438742e-7
1000,0.001,332,1.7717930545712327e-7
1000,0.001,333,1.7928376137331425e-7
1000,0.001,334,1.8145527127446619e-7
1000,0.001,335,1.8369690011395453e-7
1000,0.001,336,1.8601190476134853e-7
1000,0.001,337,1.8840374923429557e-7
1000,0.001,338,1.9087612171764158e-7
1000,0.001,339,1.9343295151724902e-7
1000,0.001,340,1.9607843150974532e-7
1000,0.001,341,1.988170387049572e-7
1000,0.001,342,2.0165355923588224e-7
1000,0.001,343,2.0459311547085252e-7
1000,0.001,344,2.0764119602960462e-7
1000,0.001,345,2.108036890733851e-7
1000,0.001,346,2.1408691929207655e-7
1000,0.001,347,2.1749768908933078e-7
1000,0.001,348,2.2104332449264854e-7
1000,0.001,349,2.2473172650197657e-7
1000,0.001,350,2.2857142857187438e-7
1000,0.001,351,2.3257166114403193e-7
1000,0.001,352,2.367424242444212e-7
1000,0.001,353,2.4109456942977695e-7
1000,0.001,354,2.4563989191845815e-7
1000,0.001,355,2.503912363067331e-7
1000,0.001,356,2.5536261491317705e-7
1000,0.001,357,2.605693440166743e-7
1000,0.001,358,2.660281989447928e-7
1000,0.001,359,2.7175759222773163e-7
1000,0.001,360,2.7777777777778994e-7
1000,0.001,361,2.84111087435229e-7
1000,0.001,362,2.907822041291809e-7
1000,0.001,363,2.97818479636712e-7
1000,0.001,364,3.052503052503014e-7
1000,0.001,365,3.131115459882587e-7
1000,0.001,366,3.214400502122342e-7
1000,0.001,367,3.302782594335124e-7
1000,0.001,368,3.3967391304515896e-7
1000,0.001,369,3.4968091616404035e-7
1000,0.001,370,3.6036036036040454e-7
1000,0.001,371,3.717817641045034e-7
1000,0.001,372,3.8402457757298115e-7
1000,0.001,373,3.971800218449048e-7
1000,0.001,374,4.1135335252982347e-7
1000,0.001,375,4.2666666666666106e-7
1000,0.001,376,4.4326241134749016e-7
1000,0.001,377,4.613078076433754e-7
1000,0.001,378,4.810004810078674e-7
1000,0.001,379,5.025757004688859e-7
1000,0.001,380,5.26315789471664e-7
1000,0.001,381,5.525625086156805e-7
1000,0.001,382,5.817335659526406e-7
1000,0.001,383,6.143449544087414e-7
1000,0.001,384,6.510416655908643e-7
1000,0.001,385,6.926406885494319e-7
1000,0.001,386,7.401924344459807e-7
1000,0.001,387,7.950705027600134e-7
1000,0.001,388,8.591062993705808e-7
1000,0.001,389,9.347969608787936e-7
1000,0.001,390,1.0256375623003416e-6
1000,0.001,391,1.136672949230978e-6
1000,0.001,392,1.275456127159215e-6
1000,0.001,393,1.4537987215340992e-6
1000,0.001,394,1.6911514156994966e-6
1000,0.001,395,2.0215338221878784e-6
1000,0.001,396,2.508638817118148e-6
1000,0.001,397,3.280788758588939e-6
1000,0.001,398,4.61648200467466e-6
1000,0.001,399,7.164415474172364e-6
